Điểm chuẩn trúng tuyển hệ đại học chính quy năm 2020 03-09-2020 



Điểm chuẩn trúng tuyển hệ đại học chính quy năm 2020 

Mã xét tuyển | Tên ngành/chương trình đào tạo | Môn chính | Điểm chuẩn
BF1 | Kỹ thuật Sinh học | Toán | 26.20
BF1x | Kỹ thuật Sinh học | KTTD | 20.53
BF2 | Kỹ thuật Thực phẩm | Toán | 26.60
BF2x | Kỹ thuật Thực phẩm | KTTD | 21.07
BF-E12 | Kỹ thuật Thực phẩm (CT tiên tiến) | Toán | 25.94
BF-E12x | Kỹ thuật Thực phẩm (CT tiên tiến) | KTTD | 19.04
CH1 | Kỹ thuật Hoá học | Toán | 25.26
CH1x | Kỹ thuật Hoá học | KTTD | 19.00
CH2 | Hoá học | Toán | 24.16
CH2x | Hoá học | KTTD | 19.00
CH3 | Kỹ thuật in | Toán | 24.51
CH3x | Kỹ thuật in | KTTD | 19.00
CH-E11 | Kỹ thuật Hóa dược (CT tiên tiến) | Toán | 26.50
CH-E11x | Kỹ thuật Hóa dược (CT tiên tiến) | KTTD | 20.50
ED2 | Công nghệ giáo dục |  | 23.80
ED2x | Công nghệ giáo dục | KTTD | 19.00
EE1 | Kỹ thuật Điện | Toán | 27.01
EE1x | Kỹ thuật Điện | KTTD | 22.50
EE2 | Kỹ thuật Điều khiển - Tự động hoá | Toán | 28.16
EE2x | Kỹ thuật Điều khiển - Tự động hoá | KTTD | 24.41
EE-E8 | Kỹ thuật Điều khiển - Tự động hoá và Hệ thống điện (CT tiên tiến) | Toán | 27.43
EE-E8x | Kỹ thuật Điều khiển - Tự động hoá và Hệ thống điện (CT tiên tiến) | KTTD | 23.43
EE-EP | Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV) | Toán | 25.68
EE-Epx | Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV) | KTTD | 20.36
EM1 | Kinh tế công nghiệp |  | 24.65
EM1x | Kinh tế công nghiệp | KTTD | 20.54
EM2 | Quản lý công nghiệp |  | 25.05
EM2x | Quản lý công nghiệp | KTTD | 19.13
EM3 | Quản trị kinh doanh |  | 25.75
EM3x | Quản trị kinh doanh | KTTD | 20.10
EM4 | Kế toán |  | 25.30
EM4x | Kế toán | KTTD | 19.29
EM5 | Tài chính - Ngân hàng |  | 24.60
EM5x | Tài chính - Ngân hàng | KTTD | 19.00
EM-E13 | Phân tích kinh doanh (CT tiên tiến) | Toán | 25.03
EM-E13x | Phân tích kinh doanh (CT tiên tiến) | KTTD | 19.09
EM-E14 | Logistics và Quản lý chuỗi cung ứng (CT tiên tiến) |  | 25.85
EM-E14x | Logistics và Quản lý chuỗi cung ứng (CT tiên tiến) | KTTD | 21.19
EM-VUW | Quản trị kinh doanh - hợp tác với ĐH Victoria Wellington (New Zealand) |  | 22.70
EM-VUWx | Quản trị kinh doanh - hợp tác với ĐH Victoria Wellington (New Zealand) | KTTD | 19.00
ET1 | Kỹ thuật Điện tử - Viễn thông | Toán | 27.30
ET1x | Kỹ thuật Điện tử - Viễn thông | KTTD | 23.00
ET-E4 | Kỹ thuật Điện tử - Viễn thông (CT tiên tiến) | Toán | 27.15
ET-E4x | Kỹ thuật Điện tử - Viễn thông (CT tiên tiến) | KTTD | 22.50
ET-E5 | Kỹ thuật Y sinh (CT tiên tiến) | Toán | 26.50
ET-E5x | Kỹ thuật Y sinh (CT tiên tiến) | KTTD | 21.10
