id_sv,id_cc,ngoai_ngu,code_ngoai_ngu,loai_cc,diem_cc,diem_quy_doi_THPT
19063263324,CC0,Tiếng Anh,N1,IELTS,4.6,9.3
37606243969,CC1,Tiếng Pháp,N2,IELTS,7.1,9.4
60224696199,CC2,Tiếng Nhật,N2,IELTS,6.8,8.1
23757222611,CC3,Tiếng Pháp,N3,IELTS,6.1,9.4
42658230139,CC4,Tiếng Nhật,N1,TOEFL,6.3,9.4
90985434625,CC5,Tiếng Pháp,N3,IELTS,7.2,8.7
68279750061,CC6,Tiếng Anh,N2,JLPT,6.6,9.7
32208069976,CC7,Tiếng Anh,N1,JLPT,5.4,8.4
14562676803,CC8,Tiếng Pháp,N3,IELTS,7.5,9.2
36552560102,CC9,Tiếng Nhật,N2,IELTS,4.1,8.5
30327552301,CC10,Tiếng Anh,N1,TOEFL,7.8,9.0
89687690435,CC11,Tiếng Pháp,N1,IELTS,5.8,9.6
73854525995,CC12,Tiếng Nhật,N2,JLPT,6.6,9.8
53285422378,CC13,Tiếng Anh,N1,JLPT,5.3,9.3
59371064657,CC14,Tiếng Anh,N2,TOEFL,8.7,8.8
22839353754,CC15,Tiếng Pháp,N1,TOEFL,6.7,9.3
78298808826,CC16,Tiếng Nhật,N3,IELTS,9.0,9.7
69499315747,CC17,Tiếng Nhật,N1,TOEFL,7.6,8.3
23319977436,CC18,Tiếng Anh,N1,IELTS,8.6,9.7
97747628035,CC19,Tiếng Pháp,N1,JLPT,8.3,9.5
94268225521,CC20,Tiếng Nhật,N2,IELTS,4.5,9.7
36026878365,CC21,Tiếng Pháp,N3,TOEFL,6.2,9.3
71622357705,CC22,Tiếng Anh,N3,TOEFL,5.5,9.4
33346591309,CC23,Tiếng Pháp,N2,IELTS,7.9,8.0
88594513630,CC24,Tiếng Anh,N1,TOEFL,4.5,8.8
13143967265,CC25,Tiếng Pháp,N1,IELTS,4.7,9.4
93562054204,CC26,Tiếng Pháp,N1,IELTS,6.7,9.9
62545552351,CC27,Tiếng Anh,N1,JLPT,5.2,9.9
15216540996,CC28,Tiếng Anh,N1,JLPT,5.3,9.2
57694113150,CC29,Tiếng Pháp,N2,IELTS,5.8,8.7
24513211402,CC30,Tiếng Anh,N3,IELTS,6.9,9.3
14912502707,CC31,Tiếng Anh,N1,IELTS,5.1,9.1
13753549324,CC32,Tiếng Nhật,N1,IELTS,7.7,8.2
30253971312,CC33,Tiếng Anh,N3,TOEFL,6.6,8.5
26685375351,CC34,Tiếng Anh,N1,JLPT,5.6,8.1
76567323263,CC35,Tiếng Nhật,N2,IELTS,7.5,8.3
97735034302,CC36,Tiếng Nhật,N3,IELTS,5.3,8.3
81395002761,CC37,Tiếng Pháp,N2,JLPT,8.6,8.0
18336287374,CC38,Tiếng Nhật,N1,TOEFL,8.9,9.1
29153810820,CC39,Tiếng Nhật,N3,JLPT,8.4,9.5
52986855357,CC40,Tiếng Nhật,N1,TOEFL,6.6,8.9
98988677794,CC41,Tiếng Nhật,N2,IELTS,4.5,9.5
82497657925,CC42,Tiếng Anh,N3,IELTS,5.7,8.3
26738371754,CC43,Tiếng Anh,N2,TOEFL,6.8,9.2
13170558385,CC44,Tiếng Nhật,N2,TOEFL,7.6,9.4
45377488787,CC45,Tiếng Pháp,N1,JLPT,7.4,9.0
95636569740,CC46,Tiếng Pháp,N3,IELTS,4.9,9.3
51530788526,CC47,Tiếng Pháp,N3,TOEFL,4.0,9.1
15130880211,CC48,Tiếng Pháp,N3,JLPT,8.2,9.4
56846166264,CC49,Tiếng Anh,N2,IELTS,8.3,9.0
96108409084,CC50,Tiếng Anh,N1,TOEFL,5.6,9.9
12593999699,CC51,Tiếng Nhật,N3,TOEFL,5.0,9.7
32656432314,CC52,Tiếng Pháp,N2,JLPT,5.0,9.4
50086256577,CC53,Tiếng Nhật,N1,TOEFL,8.6,9.0
33811659749,CC54,Tiếng Anh,N2,TOEFL,4.4,9.6
43949145363,CC55,Tiếng Anh,N2,IELTS,7.2,9.1
74275842947,CC56,Tiếng Pháp,N2,IELTS,6.2,9.2
13626451825,CC57,Tiếng Nhật,N3,TOEFL,4.4,9.3
55928022169,CC58,Tiếng Pháp,N1,JLPT,8.1,8.5
62036030834,CC59,Tiếng Nhật,N1,IELTS,5.0,9.1
90935286607,CC60,Tiếng Pháp,N1,IELTS,7.4,8.7
13828362476,CC61,Tiếng Anh,N2,JLPT,5.3,8.3
96538852284,CC62,Tiếng Anh,N1,TOEFL,5.1,8.8
56010839902,CC63,Tiếng Nhật,N2,IELTS,7.3,8.2
73308781950,CC64,Tiếng Nhật,N2,JLPT,5.0,9.5
97682983659,CC65,Tiếng Anh,N1,TOEFL,7.0,8.6
83930920746,CC66,Tiếng Nhật,N1,JLPT,7.0,8.5
21474341619,CC67,Tiếng Anh,N1,IELTS,6.4,8.1
52347065299,CC68,Tiếng Nhật,N3,IELTS,5.6,9.8
53987823348,CC69,Tiếng Anh,N1,TOEFL,7.7,8.2
73674848976,CC70,Tiếng Pháp,N3,TOEFL,8.9,8.8
42632975584,CC71,Tiếng Anh,N2,IELTS,6.2,9.0
45242071913,CC72,Tiếng Nhật,N3,TOEFL,5.0,10.0
20483072935,CC73,Tiếng Anh,N2,IELTS,8.0,9.5
47282907968,CC74,Tiếng Nhật,N2,IELTS,5.4,9.1
61361269117,CC75,Tiếng Nhật,N3,TOEFL,8.8,8.1
49778651966,CC76,Tiếng Nhật,N3,TOEFL,7.9,8.5
85487039935,CC77,Tiếng Nhật,N1,JLPT,4.6,8.1
39770899967,CC78,Tiếng Pháp,N2,JLPT,5.5,8.9
35736941542,CC79,Tiếng Nhật,N2,IELTS,8.2,9.7
97059770257,CC80,Tiếng Pháp,N1,JLPT,5.8,8.5
97474896185,CC81,Tiếng Nhật,N3,IELTS,6.1,8.6
86775699817,CC82,Tiếng Nhật,N1,IELTS,5.8,8.7
11763026404,CC83,Tiếng Nhật,N2,TOEFL,4.7,8.0
83405256254,CC84,Tiếng Pháp,N2,JLPT,4.7,9.5
73146144115,CC85,Tiếng Nhật,N1,TOEFL,7.7,9.4
53106240643,CC86,Tiếng Pháp,N1,JLPT,8.6,9.5
57697285839,CC87,Tiếng Pháp,N3,JLPT,5.9,9.7
93460928455,CC88,Tiếng Anh,N1,TOEFL,6.3,8.9
80002478860,CC89,Tiếng Pháp,N1,TOEFL,4.4,9.1
17197605999,CC90,Tiếng Nhật,N1,TOEFL,8.5,8.1
73355221478,CC91,Tiếng Pháp,N1,JLPT,8.2,8.2
46338736277,CC92,Tiếng Nhật,N2,TOEFL,4.1,8.1
75068519777,CC93,Tiếng Nhật,N1,TOEFL,7.7,9.7
17090549299,CC94,Tiếng Nhật,N2,TOEFL,6.2,8.1
42292114105,CC95,Tiếng Anh,N2,TOEFL,8.4,8.4
88448755929,CC96,Tiếng Nhật,N1,TOEFL,4.8,8.9
60991830622,CC97,Tiếng Nhật,N2,TOEFL,4.7,9.2
83184640254,CC98,Tiếng Anh,N2,JLPT,6.0,8.5
77152356299,CC99,Tiếng Nhật,N2,JLPT,4.1,8.2
81828489616,CC100,Tiếng Anh,N2,TOEFL,4.5,9.2
11157396127,CC101,Tiếng Nhật,N2,TOEFL,7.5,8.7
46608508734,CC102,Tiếng Anh,N3,JLPT,7.4,9.6
14526673551,CC103,Tiếng Anh,N3,IELTS,5.9,9.3
59308085783,CC104,Tiếng Nhật,N1,TOEFL,7.1,9.2
26777424821,CC105,Tiếng Pháp,N2,IELTS,4.2,8.5
74312049650,CC106,Tiếng Pháp,N2,IELTS,5.7,8.5
15150059306,CC107,Tiếng Nhật,N1,JLPT,5.9,9.4
81834126170,CC108,Tiếng Anh,N1,IELTS,8.2,9.4
26374662851,CC109,Tiếng Nhật,N2,IELTS,7.5,8.9
16071641531,CC110,Tiếng Anh,N3,JLPT,5.1,9.3
78698253095,CC111,Tiếng Pháp,N1,JLPT,5.3,9.5
58455797743,CC112,Tiếng Anh,N2,JLPT,8.4,8.2
64505110844,CC113,Tiếng Pháp,N3,JLPT,8.6,8.3
29891202602,CC114,Tiếng Nhật,N2,JLPT,7.3,9.4
95777174795,CC115,Tiếng Nhật,N2,TOEFL,4.9,9.3
14141682496,CC116,Tiếng Anh,N1,IELTS,4.2,8.5
79736546718,CC117,Tiếng Pháp,N2,IELTS,5.0,8.6
35904670325,CC118,Tiếng Anh,N3,JLPT,4.0,8.4
48492660693,CC119,Tiếng Pháp,N2,TOEFL,4.1,9.4
98870014404,CC120,Tiếng Anh,N2,TOEFL,6.9,10.0
85499822033,CC121,Tiếng Nhật,N3,IELTS,6.1,8.5
30885055896,CC122,Tiếng Pháp,N1,IELTS,5.0,9.0
73257561605,CC123,Tiếng Nhật,N1,IELTS,5.1,9.1
82695835349,CC124,Tiếng Anh,N3,JLPT,8.5,8.5
19200668698,CC125,Tiếng Pháp,N3,IELTS,4.8,8.3
63745526561,CC126,Tiếng Pháp,N2,IELTS,5.3,9.4
57086847077,CC127,Tiếng Anh,N2,TOEFL,6.5,9.9
96327386948,CC128,Tiếng Pháp,N3,TOEFL,5.9,8.7
56222060365,CC129,Tiếng Pháp,N1,JLPT,5.3,9.3
39318285261,CC130,Tiếng Anh,N1,TOEFL,8.8,9.9
94302290674,CC131,Tiếng Pháp,N1,TOEFL,6.4,9.5
97590001078,CC132,Tiếng Pháp,N2,TOEFL,7.5,9.0
75193774490,CC133,Tiếng Anh,N2,TOEFL,7.9,9.3
89582850465,CC134,Tiếng Anh,N3,JLPT,4.7,9.2
39344909461,CC135,Tiếng Nhật,N1,IELTS,4.2,8.5
58894193440,CC136,Tiếng Nhật,N3,IELTS,4.2,8.3
79087208217,CC137,Tiếng Anh,N3,IELTS,6.4,9.2
66143045114,CC138,Tiếng Anh,N2,JLPT,7.0,9.3
82020852605,CC139,Tiếng Pháp,N3,TOEFL,7.7,9.5
55657721448,CC140,Tiếng Pháp,N3,JLPT,7.9,8.8
96415179308,CC141,Tiếng Nhật,N1,TOEFL,4.4,9.5
23749609295,CC142,Tiếng Pháp,N2,IELTS,7.8,8.5
61051537491,CC143,Tiếng Pháp,N3,IELTS,5.9,8.2
86103889425,CC144,Tiếng Pháp,N3,JLPT,6.0,9.8
75778359961,CC145,Tiếng Anh,N3,IELTS,8.3,9.1
71157847010,CC146,Tiếng Anh,N1,IELTS,5.2,9.5
65021147239,CC147,Tiếng Nhật,N3,JLPT,8.1,9.2
32923695634,CC148,Tiếng Pháp,N1,IELTS,4.9,8.3
65407811637,CC149,Tiếng Anh,N3,JLPT,4.0,9.5
73599280386,CC150,Tiếng Nhật,N3,TOEFL,6.8,9.7
87572107697,CC151,Tiếng Nhật,N3,JLPT,4.3,9.7
70594289933,CC152,Tiếng Pháp,N1,IELTS,4.7,8.1
71981416484,CC153,Tiếng Pháp,N2,JLPT,8.8,8.4
17355935113,CC154,Tiếng Pháp,N3,IELTS,7.7,9.8
10953877055,CC155,Tiếng Pháp,N2,JLPT,7.4,8.8
31883025864,CC156,Tiếng Anh,N2,JLPT,7.4,9.3
46177027510,CC157,Tiếng Nhật,N3,JLPT,7.2,8.1
92981774978,CC158,Tiếng Nhật,N1,JLPT,4.9,8.8
12201599094,CC159,Tiếng Anh,N1,IELTS,8.3,9.3
17042893385,CC160,Tiếng Pháp,N2,TOEFL,6.2,8.1
34172187417,CC161,Tiếng Pháp,N1,TOEFL,6.0,9.5
35396290532,CC162,Tiếng Anh,N1,IELTS,4.1,9.3
30289326128,CC163,Tiếng Pháp,N1,TOEFL,4.1,9.8
74198011289,CC164,Tiếng Nhật,N2,TOEFL,8.0,9.3
74165752423,CC165,Tiếng Nhật,N3,TOEFL,5.5,9.2
20597617312,CC166,Tiếng Pháp,N1,TOEFL,5.5,9.3
80211071350,CC167,Tiếng Nhật,N3,IELTS,7.3,8.8
70465397447,CC168,Tiếng Anh,N3,IELTS,6.1,9.6
56612410097,CC169,Tiếng Pháp,N1,TOEFL,5.8,8.6
58772566123,CC170,Tiếng Nhật,N2,TOEFL,8.6,9.6
50361324223,CC171,Tiếng Pháp,N3,TOEFL,8.4,9.7
99115515634,CC172,Tiếng Anh,N1,TOEFL,8.1,8.2
86178683588,CC173,Tiếng Nhật,N2,TOEFL,5.2,9.5
35280076205,CC174,Tiếng Nhật,N1,IELTS,8.3,8.8
68553891580,CC175,Tiếng Nhật,N3,TOEFL,6.3,8.5
95930227582,CC176,Tiếng Nhật,N3,TOEFL,4.5,9.1
93378397877,CC177,Tiếng Anh,N1,IELTS,5.0,8.9
62225716697,CC178,Tiếng Anh,N2,IELTS,8.7,10.0
14298295359,CC179,Tiếng Anh,N2,IELTS,7.6,9.1
75247428462,CC180,Tiếng Pháp,N1,IELTS,5.5,9.6
44311916213,CC181,Tiếng Anh,N1,IELTS,4.8,9.4
45823425237,CC182,Tiếng Nhật,N1,TOEFL,8.0,8.2
20526345896,CC183,Tiếng Nhật,N1,TOEFL,7.1,8.9
25109112072,CC184,Tiếng Pháp,N3,IELTS,8.2,9.8
67630157034,CC185,Tiếng Nhật,N3,TOEFL,4.6,8.4
75060656551,CC186,Tiếng Nhật,N3,JLPT,8.0,9.9
67111098405,CC187,Tiếng Pháp,N1,IELTS,4.7,9.3
62940893358,CC188,Tiếng Nhật,N3,JLPT,6.0,8.0
29405917009,CC189,Tiếng Nhật,N2,TOEFL,5.3,10.0
91658985566,CC190,Tiếng Pháp,N1,JLPT,5.3,9.7
12012930922,CC191,Tiếng Anh,N3,TOEFL,6.8,8.6
29367919892,CC192,Tiếng Pháp,N3,JLPT,7.0,8.7
55984463134,CC193,Tiếng Anh,N1,TOEFL,8.7,9.1
25579181945,CC194,Tiếng Anh,N2,IELTS,6.4,9.8
38837127226,CC195,Tiếng Pháp,N2,TOEFL,4.4,9.1
14355968711,CC196,Tiếng Anh,N1,IELTS,6.9,9.8
79040285064,CC197,Tiếng Anh,N2,IELTS,4.8,9.7
69178770377,CC198,Tiếng Anh,N2,TOEFL,8.3,9.8
74841113319,CC199,Tiếng Pháp,N3,JLPT,5.1,9.5
36147927333,CC200,Tiếng Anh,N3,IELTS,8.3,9.9
82948377283,CC201,Tiếng Anh,N2,TOEFL,6.5,8.4
39342853834,CC202,Tiếng Anh,N1,JLPT,5.4,8.2
73686788273,CC203,Tiếng Nhật,N2,JLPT,4.5,9.1
30317777985,CC204,Tiếng Pháp,N2,JLPT,5.0,8.6
88567543126,CC205,Tiếng Pháp,N1,IELTS,8.4,8.7
15184066686,CC206,Tiếng Anh,N3,JLPT,8.3,9.9
50276943381,CC207,Tiếng Pháp,N1,TOEFL,5.1,8.6
48929234900,CC208,Tiếng Anh,N2,IELTS,8.5,8.8
59401266472,CC209,Tiếng Anh,N2,TOEFL,6.8,9.1
29801356784,CC210,Tiếng Nhật,N1,JLPT,5.0,8.1
53459475322,CC211,Tiếng Pháp,N3,TOEFL,7.6,8.3
29905913834,CC212,Tiếng Anh,N1,TOEFL,5.9,9.4
89868163307,CC213,Tiếng Pháp,N3,JLPT,6.8,8.7
98296045313,CC214,Tiếng Pháp,N3,TOEFL,5.2,9.1
38304974477,CC215,Tiếng Nhật,N1,JLPT,8.2,8.0
21230411862,CC216,Tiếng Pháp,N3,JLPT,4.8,8.9
88125529477,CC217,Tiếng Anh,N1,TOEFL,6.3,8.8
54637095391,CC218,Tiếng Nhật,N3,JLPT,4.1,9.4
45330938278,CC219,Tiếng Pháp,N3,TOEFL,4.1,8.8
