id_sv,tong_diem_xet_tuyen,nganh_tt
33900248348,28.16,IT-E7
86210696979,28.15,EM3
60435058564,22.53,EM3
32830377796,20.85,IT-E7
77278628947,24.43,ET1
65850255305,23.77,ET1
74518238460,27.6,ET1
47853529904,24.09,BF2
25265876828,21.95,CH2
79905531080,28.33,IT-E7
74161780352,24.8,IT-E7
95911575416,28.21,EM3
48790590293,22.21,BF2
11238307028,24.28,IT-E7
93145851096,24.62,BF2
71320668676,29.5,ET1
79357598642,27.68,ET1
19431819492,27.63,IT-E7
40286378686,24.69,BF2
53380817272,21.58,BF2
48949687599,26.53,BF2
29488987474,23.79,IT-E7
85830019484,22.46,CH2
59600312121,29.53,EM3
33153820392,21.13,ET1
83880319417,23.26,BF2
21928348389,22.42,BF2
90830500733,22.13,IT-E7
55515250351,24.96,BF2
76294890042,22.64,BF2
66836781902,29.99,BF2
61208774140,25.79,CH2
54241138145,26.98,IT-E7
40767237728,24.8,BF2
42670043130,27.36,ET1
19417646768,22.06,IT-E7
86239579465,20.3,ET1
91264598227,22.36,EM3
31511551132,28.72,BF2
57371783236,23.73,CH2
59389542641,25.3,EM3
29284922748,29.43,ET1
46903607020,20.36,CH2
73158474507,22.36,BF2
14569664254,23.28,BF2
35141220036,27.64,EM3
32609879698,29.44,ET1
66312008448,27.86,ET1
51590912966,20.35,BF2
84319405856,26.85,BF2
88582340329,29.85,CH2
47928743057,22.05,IT-E7
11269649109,24.78,BF2
71126449621,22.07,CH2
36740755910,29.82,IT-E7
97536430901,21.33,CH2
33150958309,24.76,BF2
73634140906,20.37,EM3
32559028722,20.08,CH2
50296483240,26.39,EM3
91914893820,23.41,CH2
16873949446,24.3,CH2
16070245969,22.78,CH2
55796286774,20.94,EM3
47836059808,26.4,IT-E7
43037102627,27.21,IT-E7
23847401193,29.12,IT-E7
61743634413,27.12,IT-E7
89467272164,20.21,EM3
11320381433,28.44,ET1
86246135240,22.22,ET1
49710239672,25.54,EM3
83709014662,29.88,IT-E7
26618258854,21.52,CH2
84495565452,21.77,ET1
28406210267,22.09,ET1
87410842091,20.31,ET1
88984522025,27.35,BF2
75267195830,20.95,ET1
94944989444,22.55,CH2
50130606994,27.52,BF2
16055899597,20.74,ET1
78814996018,25.88,IT-E7
30117541535,23.84,EM3
75811817068,22.75,IT-E7
65296579567,28.87,ET1
76426943524,25.6,CH2
93170817148,22.05,ET1
12122458837,29.75,ET1
95153677452,26.81,ET1
16354740111,28.51,CH2
16730363471,22.26,IT-E7
22458990998,24.35,ET1
13453133430,24.72,CH2
32896563881,24.42,EM3
22117030868,26.11,IT-E7
19504582045,21.23,IT-E7
38500466288,29.02,EM3
91241023727,22.96,IT-E7
79837251767,23.71,EM3
29999038994,25.68,CH2
22254882293,27.07,EM3
28638442429,21.54,EM3
98328525231,20.66,EM3
51421016296,27.2,IT-E7
86840207837,24.11,EM3
25487193954,27.68,ET1
22940568814,22.01,ET1
29351925465,21.1,IT-E7
91509243760,24.19,EM3
57415726474,27.48,CH2
31664695795,27.41,ET1
86172746022,21.7,ET1
39119942311,26.89,IT-E7
19861066864,27.28,CH2
